UNDEF;Undefined
M49.24;Spondylitis durch Enterobakterien: Thorakalbereich
M49.25;Spondylitis durch Enterobakterien: Thorakolumbalbereich
M49.26;Spondylitis durch Enterobakterien: Lumbalbereich
M49.27;Spondylitis durch Enterobakterien: Lumbosakralbereich
M49.28;Spondylitis durch Enterobakterien: Sakral- und Sakrokokzygealbereich
M49.29;Spondylitis durch Enterobakterien: Nicht näher bezeichnete Lokalisation
M49.3;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten
M49.30;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Mehrere Lokalisationen der Wirbelsäule
M49.31;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Okzipito-Atlanto-Axialbereich
M49.32;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Zervikalbereich
M49.33;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Zervikothorakalbereich
M49.34;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Thorakalbereich
M49.35;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Thorakolumbalbereich
M49.36;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Lumbalbereich
M49.37;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Lumbosakralbereich
M49.38;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Sakral- und Sakrokokzygealbereich
M49.39;Spondylopathie bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten: Nicht näher bezeichnete Lokalisation
M49.4;Neuropathische Spondylopathie
M49.40;Neuropathische Spondylopathie: Mehrere Lokalisationen der Wirbelsäule
M49.41;Neuropathische Spondylopathie: Okzipito-Atlanto-Axialbereich
M49.42;Neuropathische Spondylopathie: Zervikalbereich
M49.43;Neuropathische Spondylopathie: Zervikothorakalbereich
M49.44;Neuropathische Spondylopathie: Thorakalbereich
M49.45;Neuropathische Spondylopathie: Thorakolumbalbereich
M49.46;Neuropathische Spondylopathie: Lumbalbereich
M49.47;Neuropathische Spondylopathie: Lumbosakralbereich
M49.48;Neuropathische Spondylopathie: Sakral- und Sakrokokzygealbereich
M49.49;Neuropathische Spondylopathie: Nicht näher bezeichnete Lokalisation
M49.5;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten
M49.50;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Mehrere Lokalisationen der Wirbelsäule
M49.51;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Okzipito-Atlanto-Axialbereich
M49.52;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Zervikalbereich
M49.53;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Zervikothorakalbereich
M49.54;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Thorakalbereich
M49.55;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Thorakolumbalbereich
M49.56;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Lumbalbereich
M49.57;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Lumbosakralbereich
M49.58;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Sakral- und Sakrokokzygealbereich
M49.59;Wirbelkörperkompression bei anderenorts klassifizierten Krankheiten: Nicht näher bezeichnete Lokalisation
M49.8;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten
M49.80;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Mehrere Lokalisationen der Wirbelsäule
M49.81;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Okzipito-Atlanto-Axialbereich
M49.82;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Zervikalbereich
M49.83;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Zervikothorakalbereich
M49.84;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Thorakalbereich
M49.85;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Thorakolumbalbereich
M49.86;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Lumbalbereich
M49.87;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Lumbosakralbereich
M49.88;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Sakral- und Sakrokokzygealbereich
M49.89;Spondylopathie bei sonstigen anderenorts klassifizierten Krankheiten: Nicht näher bezeichnete Lokalisation
M50;Zervikale Bandscheibenschäden
M50.0;Zervikaler Bandscheibenschaden mit Myelopathie
M50.1;Zervikaler Bandscheibenschaden mit Radikulopathie
M50.2;Sonstige zervikale Bandscheibenverlagerung
M50.3;Sonstige zervikale Bandscheibendegeneration
M50.8;Sonstige zervikale Bandscheibenschäden
M50.9;Zervikaler Bandscheibenschaden, nicht näher bezeichnet
M51;Sonstige Bandscheibenschäden
M51.0;Lumbale und sonstige Bandscheibenschäden mit Myelopathie
M51.1;Lumbale und sonstige Bandscheibenschäden mit Radikulopathie
M51.2;Sonstige näher bezeichnete Bandscheibenverlagerung
M51.3;Sonstige näher bezeichnete Bandscheibendegeneration
M51.4;Schmorl-Knötchen
M51.8;Sonstige näher bezeichnete Bandscheibenschäden
M51.9;Bandscheibenschaden, nicht näher bezeichnet
M53;Sonstige Krankheiten der Wirbelsäule und des Rückens, anderenorts nicht klassifiziert
M53.0;Zervikozephales Syndrom
M53.1;Zervikobrachial-Syndrom
M53.2;Instabilität der Wirbelsäule
M53.20;Instabilität der Wirbelsäule: Mehrere Lokalisationen der Wirbelsäule
M53.21;Instabilität der Wirbelsäule: Okzipito-Atlanto-Axialbereich
M53.22;Instabilität der Wirbelsäule: Zervikalbereich
M53.23;Instabilität der Wirbelsäule: Zervikothorakalbereich
M53.24;Instabilität der Wirbelsäule: Thorakalbereich
M53.25;Instabilität der Wirbelsäule: Thorakolumbalbereich
M53.26;Instabilität der Wirbelsäule: Lumbalbereich
M53.27;Instabilität der Wirbelsäule: Lumbosakralbereich
M53.28;Instabilität der Wirbelsäule: Sakral- und Sakrokokzygealbereich
M53.29;Instabilität der Wirbelsäule: Nicht näher bezeichnete Lokalisation
M53.3;Krankheiten der Sakrokokzygealregion, anderenorts nicht klassifiziert
M53.8;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens
M53.80;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Mehrere Lokalisationen der Wirbelsäule
M53.81;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Okzipito-Atlanto-Axialbereich
M53.82;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Zervikalbereich
M53.83;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Zervikothorakalbereich
M53.84;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Thorakalbereich
M53.85;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Thorakolumbalbereich
M53.86;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Lumbalbereich
M53.87;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Lumbosakralbereich
M53.88;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Sakral- und Sakrokokzygealbereich
M53.89;Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Nicht näher bezeichnete Lokalisation
M53.9;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet
M53.90;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Mehrere Lokalisationen der Wirbelsäule
M53.91;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Okzipito-Atlanto-Axialbereich
M53.92;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Zervikalbereich
M53.93;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Zervikothorakalbereich
M53.94;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Thorakalbereich
M53.95;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Thorakolumbalbereich
M53.96;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Lumbalbereich
M53.97;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Lumbosakralbereich
M53.98;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Sakral- und Sakrokokzygealbereich
M53.99;Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation
M54;Rückenschmerzen
M54.0;Pannikulitis in der Nacken- und Rückenregion
M54.00;Pannikulitis in der Nacken- und Rückenregion: Mehrere Lokalisationen der Wirbelsäule
M54.01;Pannikulitis in der Nacken- und Rückenregion: Okzipito-Atlanto-Axialbereich
M54.02;Pannikulitis in der Nacken- und Rückenregion: Zervikalbereich
M54.03;Pannikulitis in der Nacken- und Rückenregion: Zervikothorakalbereich
M54.04;Pannikulitis in der Nacken- und Rückenregion: Thorakalbereich
M54.05;Pannikulitis in der Nacken- und Rückenregion: Thorakolumbalbereich
M54.06;Pannikulitis in der Nacken- und Rückenregion: Lumbalbereich
M54.07;Pannikulitis in der Nacken- und Rückenregion: Lumbosakralbereich
M54.08;Pannikulitis in der Nacken- und Rückenregion: Sakral- und Sakrokokzygealbereich
M54.09;Pannikulitis in der Nacken- und Rückenregion: Nicht näher bezeichnete Lokalisation
M54.1;Radikulopathie
M54.10;Radikulopathie: Mehrere Lokalisationen der Wirbelsäule
M54.11;Radikulopathie: Okzipito-Atlanto-Axialbereich
M54.12;Radikulopathie: Zervikalbereich
M54.13;Radikulopathie: Zervikothorakalbereich
M54.14;Radikulopathie: Thorakalbereich
M54.15;Radikulopathie: Thorakolumbalbereich
M54.16;Radikulopathie: Lumbalbereich
M54.17;Radikulopathie: Lumbosakralbereich
M54.18;Radikulopathie: Sakral- und Sakrokokzygealbereich
M54.19;Radikulopathie: Nicht näher bezeichnete Lokalisation
M54.2;Zervikalneuralgie
M54.3;Ischialgie
M54.4;Lumboischialgie
M54.5;Kreuzschmerz
M54.6;Schmerzen im Bereich der Brustwirbelsäule
M54.8;Sonstige Rückenschmerzen
M54.80;Sonstige Rückenschmerzen: Mehrere Lokalisationen der Wirbelsäule
M54.81;Sonstige Rückenschmerzen: Okzipito-Atlanto-Axialbereich
M54.82;Sonstige Rückenschmerzen: Zervikalbereich
M54.83;Sonstige Rückenschmerzen: Zervikothorakalbereich
M54.84;Sonstige Rückenschmerzen: Thorakalbereich
M54.85;Sonstige Rückenschmerzen: Thorakolumbalbereich
M54.86;Sonstige Rückenschmerzen: Lumbalbereich
M54.87;Sonstige Rückenschmerzen: Lumbosakralbereich
M54.88;Sonstige Rückenschmerzen: Sakral- und Sakrokokzygealbereich
M54.89;Sonstige Rückenschmerzen: Nicht näher bezeichnete Lokalisation
M54.9;Rückenschmerzen, nicht näher bezeichnet
M54.90;Rückenschmerzen, nicht näher bezeichnet: Mehrere Lokalisationen der Wirbelsäule
M54.91;Rückenschmerzen, nicht näher bezeichnet: Okzipito-Atlanto-Axialbereich
M54.92;Rückenschmerzen, nicht näher bezeichnet: Zervikalbereich
M54.93;Rückenschmerzen, nicht näher bezeichnet: Zervikothorakalbereich
M54.94;Rückenschmerzen, nicht näher bezeichnet: Thorakalbereich
M54.95;Rückenschmerzen, nicht näher bezeichnet: Thorakolumbalbereich
M54.96;Rückenschmerzen, nicht näher bezeichnet: Lumbalbereich
M54.97;Rückenschmerzen, nicht näher bezeichnet: Lumbosakralbereich
M54.98;Rückenschmerzen, nicht näher bezeichnet: Sakral- und Sakrokokzygealbereich
M54.99;Rückenschmerzen, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation
M60;Myositis
M60.0;Infektiöse Myositis
M60.00;Infektiöse Myositis: Mehrere Lokalisationen
M60.01;Infektiöse Myositis: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M60.02;Infektiöse Myositis: Oberarm [Humerus, Ellenbogengelenk]
M60.03;Infektiöse Myositis: Unterarm [Radius, Ulna, Handgelenk]
M60.04;Infektiöse Myositis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M60.05;Infektiöse Myositis: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M60.06;Infektiöse Myositis: Unterschenkel [Fibula, Tibia, Kniegelenk]
M60.07;Infektiöse Myositis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M60.08;Infektiöse Myositis: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M60.09;Infektiöse Myositis: Nicht näher bezeichnete Lokalisation
M60.1;Interstitielle Myositis
M60.10;Interstitielle Myositis: Mehrere Lokalisationen
M60.11;Interstitielle Myositis: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M60.12;Interstitielle Myositis: Oberarm [Humerus, Ellenbogengelenk]
M60.13;Interstitielle Myositis: Unterarm [Radius, Ulna, Handgelenk]
M60.14;Interstitielle Myositis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M60.15;Interstitielle Myositis: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M60.16;Interstitielle Myositis: Unterschenkel [Fibula, Tibia, Kniegelenk]
M60.17;Interstitielle Myositis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M60.18;Interstitielle Myositis: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M60.19;Interstitielle Myositis: Nicht näher bezeichnete Lokalisation
M60.2;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert
M60.20;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Mehrere Lokalisationen
M60.21;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M60.22;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Oberarm [Humerus, Ellenbogengelenk]
M60.23;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Unterarm [Radius, Ulna, Handgelenk]
M60.24;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M60.25;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M60.26;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Unterschenkel [Fibula, Tibia, Kniegelenk]
M60.27;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M60.28;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M60.29;Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert: Nicht näher bezeichnete Lokalisation
M60.8;Sonstige Myositis
M60.80;Sonstige Myositis: Mehrere Lokalisationen
M60.81;Sonstige Myositis: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M60.82;Sonstige Myositis: Oberarm [Humerus, Ellenbogengelenk]
M60.83;Sonstige Myositis: Unterarm [Radius, Ulna, Handgelenk]
M60.84;Sonstige Myositis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M60.85;Sonstige Myositis: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M60.86;Sonstige Myositis: Unterschenkel [Fibula, Tibia, Kniegelenk]
M60.87;Sonstige Myositis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M60.88;Sonstige Myositis: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M60.89;Sonstige Myositis: Nicht näher bezeichnete Lokalisation
M60.9;Myositis, nicht näher bezeichnet
M60.90;Myositis, nicht näher bezeichnet: Mehrere Lokalisationen
M60.91;Myositis, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M60.92;Myositis, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]
M60.93;Myositis, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]
M60.94;Myositis, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M60.95;Myositis, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M60.96;Myositis, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]
M60.97;Myositis, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M60.98;Myositis, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M60.99;Myositis, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation
M61;Kalzifikation und Ossifikation von Muskeln
M61.0;Traumatische Myositis ossificans
M61.00;Traumatische Myositis ossificans: Mehrere Lokalisationen
M61.01;Traumatische Myositis ossificans: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M61.02;Traumatische Myositis ossificans: Oberarm [Humerus, Ellenbogengelenk]
M61.03;Traumatische Myositis ossificans: Unterarm [Radius, Ulna, Handgelenk]
M61.04;Traumatische Myositis ossificans: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M61.05;Traumatische Myositis ossificans: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M61.06;Traumatische Myositis ossificans: Unterschenkel [Fibula, Tibia, Kniegelenk]
M61.07;Traumatische Myositis ossificans: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M61.08;Traumatische Myositis ossificans: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M61.09;Traumatische Myositis ossificans: Nicht näher bezeichnete Lokalisation
M61.1;Myositis ossificans progressiva
M61.10;Myositis ossificans progressiva: Mehrere Lokalisationen
M61.11;Myositis ossificans progressiva: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M61.12;Myositis ossificans progressiva: Oberarm [Humerus, Ellenbogengelenk]
M61.13;Myositis ossificans progressiva: Unterarm [Radius, Ulna, Handgelenk]
M61.14;Myositis ossificans progressiva: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M61.15;Myositis ossificans progressiva: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M61.16;Myositis ossificans progressiva: Unterschenkel [Fibula, Tibia, Kniegelenk]
M61.17;Myositis ossificans progressiva: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M61.18;Myositis ossificans progressiva: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M61.19;Myositis ossificans progressiva: Nicht näher bezeichnete Lokalisation
M61.2;Kalzifikation und Ossifikation von Muskeln bei Lähmungen
M61.20;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Mehrere Lokalisationen
M61.21;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M61.22;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Oberarm [Humerus, Ellenbogengelenk]
M61.23;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Unterarm [Radius, Ulna, Handgelenk]
M61.24;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M61.25;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M61.26;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Unterschenkel [Fibula, Tibia, Kniegelenk]
M61.27;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M61.28;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M61.29;Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Nicht näher bezeichnete Lokalisation
M61.3;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen
M61.30;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Mehrere Lokalisationen
M61.31;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M61.32;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Oberarm [Humerus, Ellenbogengelenk]
M61.33;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Unterarm [Radius, Ulna, Handgelenk]
M61.34;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M61.35;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M61.36;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Unterschenkel [Fibula, Tibia, Kniegelenk]
M61.37;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M61.38;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M61.39;Kalzifikation und Ossifikation von Muskeln bei Verbrennungen: Nicht näher bezeichnete Lokalisation
M61.4;Sonstige Kalzifikation von Muskeln
M61.40;Sonstige Kalzifikation von Muskeln: Mehrere Lokalisationen
M61.41;Sonstige Kalzifikation von Muskeln: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M61.42;Sonstige Kalzifikation von Muskeln: Oberarm [Humerus, Ellenbogengelenk]
M61.43;Sonstige Kalzifikation von Muskeln: Unterarm [Radius, Ulna, Handgelenk]
M61.44;Sonstige Kalzifikation von Muskeln: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M61.45;Sonstige Kalzifikation von Muskeln: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M61.46;Sonstige Kalzifikation von Muskeln: Unterschenkel [Fibula, Tibia, Kniegelenk]
M61.47;Sonstige Kalzifikation von Muskeln: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M61.48;Sonstige Kalzifikation von Muskeln: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M61.49;Sonstige Kalzifikation von Muskeln: Nicht näher bezeichnete Lokalisation
M61.5;Sonstige Ossifikation von Muskeln
M61.50;Sonstige Ossifikation von Muskeln: Mehrere Lokalisationen
M61.51;Sonstige Ossifikation von Muskeln: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M61.52;Sonstige Ossifikation von Muskeln: Oberarm [Humerus, Ellenbogengelenk]
M61.53;Sonstige Ossifikation von Muskeln: Unterarm [Radius, Ulna, Handgelenk]
M61.54;Sonstige Ossifikation von Muskeln: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M61.55;Sonstige Ossifikation von Muskeln: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M61.56;Sonstige Ossifikation von Muskeln: Unterschenkel [Fibula, Tibia, Kniegelenk]
M61.57;Sonstige Ossifikation von Muskeln: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M61.58;Sonstige Ossifikation von Muskeln: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M61.59;Sonstige Ossifikation von Muskeln: Nicht näher bezeichnete Lokalisation
M61.9;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet
M61.90;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Mehrere Lokalisationen
M61.91;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M61.92;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]
M61.93;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]
M61.94;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M61.95;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M61.96;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]
M61.97;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M61.98;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
M61.99;Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation
M62;Sonstige Muskelkrankheiten
M62.0;Muskeldiastase
M62.00;Muskeldiastase: Mehrere Lokalisationen
M62.01;Muskeldiastase: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M62.02;Muskeldiastase: Oberarm [Humerus, Ellenbogengelenk]
M62.03;Muskeldiastase: Unterarm [Radius, Ulna, Handgelenk]
M62.04;Muskeldiastase: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M62.05;Muskeldiastase: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]
M62.06;Muskeldiastase: Unterschenkel [Fibula, Tibia, Kniegelenk]
M62.07;Muskeldiastase: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]
M62.08;Muskeldiastase: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]
